尒弌偟嘆,尒弌偟嘇,尒弌偟嘊,尒弌偟嘋,尒弌偟嘍,尒弌偟嘐,尒弌偟嘑,尒弌偟嘒,尒弌偟嘓,尒弌偟嘔
0001,AAAAA,111,222,3333,4444,55555,66666,77777,88888
0002,BBBBB,,,3333,,,,,
0003,"CCC
CC",,,3333,,,,,
0004,"DDD,D",,,3333,,,,,
0005,EEEEE,,,3333,,,,,
0006,FFFFF,111,222,3333,4444,55555,66666,77777,88888
0007,"GG,GG",,,3333,,,,,
0008,HHHHH,,,3333,,,,,
0009,IIIII,,,3333,,,,,
0010,"JJJ""JJ",,,3333,,,,,
0011,KKKKK,,,3333,,,,,
0012,"LL
L
LL",,,3333,,,,,
0013,MMMMM,,,3333,,,,,
0014,NNNNN,,,3333,,,,,
0015,OOOOO,,,3333,,,,,
0016,PPPPP,,,3333,,,,,
0017,"Q,Q
QQ",,,3333,,,,,
0018,RRRRR,,,3333,,,,,
0019,SSSSS,,,3333,,,,,
0020,TTTTT,,,3333,,,,,
0021,UUUUU,,,3333,,,,,
0022,VVVVV,,,3333,,,,,
0023,WWWWW,,,3333,,,,,
